airport,latitude,longitude,elevation_ft
KCLT,35.213186,-80.951381,748
KCOS,38.805817,-104.700778,6187
KDEN,39.861667,-104.673167,5434
KDFW,32.897233,-97.037694,606
KEWR,40.692481,-74.168689,18
KFAT,36.776556,-119.718833,336
KIAD,38.947456,-77.459928,312
KIAH,29.984436,-95.341442,96
KLAS,36.080342,-115.15245,2183
KLAX,33.942497,-118.40805,128
KMCO,28.429389,-81.309,96
KMDW,41.785644,-87.752728,620
KMFE,26.175833,-98.238611,107
KMIA,25.795361,-80.290117,9
KOAK,37.721261,-122.22115,9
KONT,34.056014,-117.601189,944
KORD,41.976942,-87.90815,680
KPDX,45.588708,-122.596869,31
KPHX,33.434278,-112.011583,1135
KRFD,42.195361,-89.097222,742
KRNO,39.499111,-119.768111,4415
KSAT,29.533958,-98.469058,809
KSEA,47.449889,-122.311778,432
KSJC,37.362994,-121.928619,62
KSMF,38.695444,-121.590778,27
KTPA,27.975469,-82.533247,27
MGGT,14.583272,-90.527472,4952
MHLM,15.451958,-87.924153,92
MMAA,16.757097,-99.753819,15
MMAS,21.705483,-102.317894,6112
MMBT,15.775328,-96.262556,464
MMCL,24.765061,-107.475153,105
MMCM,18.505328,-88.329042,39
MMCN,27.392761,-109.833092,207
MMCS,31.636361,-106.428761,3904
MMCU,28.702358,-105.962917,4465
MMCZ,20.522064,-86.929278,15
MMDO,24.126033,-104.527461,6104
MMEP,21.416192,-104.844278,3025
MMGL,20.521836,-103.311144,5013
MMHO,29.095814,-111.047858,627
MMIA,19.277011,-103.5776,2467
MMLM,25.685522,-109.081164,16
MMLO,20.9933,-101.480961,5956
MMLP,24.072744,-110.362547,72
MMLT,25.989869,-111.34835,36
MMMD,20.937022,-89.657694,37
MMML,32.630564,-115.241644,74
MMMM,19.849869,-101.025375,6033
MMMX,19.435969,-99.073392,7297
MMMY,25.778558,-100.106986,1276
MMMZ,23.161481,-106.264572,38
MMOX,16.998586,-96.726042,4989
MMPB,19.158139,-98.371503,7361
MMPN,19.396453,-102.038886,5258
MMPR,20.680072,-105.2542,23
MMPS,15.876917,-97.089083,294
MMQT,20.617378,-100.185694,6296
MMSD,23.152072,-109.720747,381
MMSM,19.744639,-99.014778,7362
MMSP,22.254261,-100.930761,6033
MMTC,25.568289,-103.410678,3691
MMTG,16.561822,-93.026081,1508
MMTJ,32.541058,-116.969969,487
MMTL,20.172533,-87.660986,48
MMTO,19.337086,-99.566036,8468
MMTP,14.79435,-92.369969,95
MMUN,21.042742,-86.8732,22
MMVA,17.997017,-92.814814,46
MMVR,19.145781,-96.187364,89
MMZC,22.897394,-102.685769,7126
MMZH,17.601622,-101.460553,26
MROC,9.993903,-84.208856,3048
MSLP,13.440939,-89.055753,101
SKBO,4.7016,-74.146944,8358
SPJC,-12.021389,-77.120533,113
