airport,latitude,longitude,elevation_ft
EDDF,50.033306,8.570456,363
EGLL,51.4775,-0.461389,83
EGYP,-51.822689,-58.44595,233
EHAM,52.308056,4.764167,-11
FAOR,-26.133694,28.242317,5559
KATL,33.6367,-84.427864,1026
KBOS,42.362944,-71.006389,19
KJFK,40.639928,-73.778692,13
KLAX,33.942497,-118.40805,128
KMCO,28.429389,-81.309,96
KMIA,25.795361,-80.290117,9
LEBL,41.296944,2.078333,14
LEMD,40.472222,-3.560833,1998
LFPG,49.009722,2.547778,392
LIMC,45.63,8.723056,768
LIRF,41.800278,12.238889,14
LPPT,38.774167,-9.134167,355
MDPC,18.570781,-68.366186,47
MKJS,18.503669,-77.913389,4
MMMX,19.435969,-99.073392,7297
MMUN,21.042742,-86.8732,22
MROC,9.993903,-84.208856,3048
MUHA,22.989167,-82.409167,210
NZAA,-37.008056,174.791667,23
SAAR,-32.903611,-60.784444,86
SABE,-34.559722,-58.415,20
SACO,-31.31,-64.208333,1604
SAEZ,-34.822222,-58.535833,67
SAME,-32.831667,-68.792778,2310
SANT,-26.838333,-65.104444,1494
SASA,-24.859722,-65.486944,4089
SAWG,-51.608889,-69.312222,61
SAWH,-54.843333,-68.295556,96
SAZN,-38.948889,-68.155833,891
SBAR,-10.985278,-37.073333,23
SBBE,-1.384722,-48.478889,56
SBBR,-15.871111,-47.918611,3498
SBBV,2.841389,-60.692222,276
SBCA,-25.002222,-53.501944,2490
SBCF,-19.624444,-43.971944,2721
SBCG,-20.469444,-54.670278,1834
SBCH,-27.133889,-52.658889,2154
SBCT,-25.531667,-49.176111,2989
SBCX,-29.198056,-51.186667,2474
SBCY,-15.65,-56.1175,617
SBDB,-21.247222,-56.4525,1096
SBDO,-22.200556,-54.925556,1500
SBEG,-3.041111,-60.050556,264
SBFI,-25.600278,-54.485,787
SBFL,-27.670278,-48.5525,17
SBFN,-3.854722,-32.428333,184
SBFZ,-3.775833,-38.532222,83
SBGL,-22.81,-43.250556,28
SBGO,-16.6325,-49.221111,2453
SBGR,-23.435556,-46.473056,2461
SBIL,-14.815,-39.033333,14
SBIZ,-5.530556,-47.458333,431
SBJA,-28.675278,-49.059444,115
SBJE,-2.906667,-40.358056,89
SBJP,-7.148333,-34.950278,217
SBJU,-7.219167,-39.269444,1342
SBJV,-26.223056,-48.797778,15
SBKP,-23.006944,-47.134444,2170
SBLO,-23.330278,-51.136667,1867
SBMA,-5.368056,-49.138056,358
SBMG,-23.476389,-52.017778,1801
SBMK,-16.706111,-43.821944,2192
SBMO,-9.510833,-35.791667,388
SBMQ,0.050556,-51.072222,56
SBNF,-26.878611,-48.650833,18
SBPA,-29.994722,-51.171111,30
SBPB,-2.893333,-41.730278,23
SBPF,-28.244167,-52.328333,2380
SBPJ,-10.29,-48.357778,774
SBPK,-31.716111,-52.331111,59
SBPL,-9.3675,-40.563611,1263
SBPS,-16.438056,-39.077778,169
SBPV,-8.713611,-63.902778,295
SBRB,-9.868333,-67.898056,633
SBRF,-8.126389,-34.922778,33
SBRJ,-22.91,-43.1625,10
SBRP,-21.136389,-47.776667,1805
SBSG,-5.768889,-35.366389,273
SBSI,-11.885,-55.586111,1227
SBSL,-2.586944,-44.236111,177
SBSN,-2.424722,-54.785833,197
SBSP,-23.626111,-46.656389,2634
SBSR,-20.817222,-49.406944,1785
SBSV,-12.908611,-38.3225,63
SBTC,-15.353333,-38.997222,23
SBTE,-5.060556,-42.824444,220
SBUL,-18.883611,-48.225278,3094
SBUR,-19.764722,-47.966111,2654
SBVC,-14.907778,-40.914722,2934
SBVT,-20.258056,-40.286389,34
SCAR,-18.348611,-70.338611,166
SCAT,-27.261667,-70.779167,670
SCBA,-45.916389,-71.686944,1722
SCCF,-22.5,-68.903056,7631
SCCI,-53.003611,-70.853611,139
SCDA,-20.535278,-70.181389,156
SCEL,-33.394442,-70.793803,1555
SCFA,-23.444444,-70.445,455
SCIE,-36.771389,-73.0625,26
SCIP,-27.164722,-109.421667,227
SCJO,-40.611389,-73.060556,187
SCNT,-51.670833,-72.528611,218
SCPQ,-42.340389,-73.715694,528
SCQP,-38.925833,-72.651667,321
SCSE,-29.916389,-71.199444,481
SCTE,-41.438889,-73.093889,294
SCVD,-39.649444,-73.086389,59
SECO,-0.457778,-76.989444,834
SECU,-2.889444,-78.984444,8306
SEGS,-0.453889,-90.265833,207
SEGU,-2.157778,-79.883889,18
SEMT,-0.945556,-80.678333,48
SEQM,-0.124167,-78.354444,7910
SEST,-0.910278,-89.6175,63
SGAS,-25.241092,-57.516828,290
SKAR,4.451642,-75.766389,3976
SKBG,7.126381,-73.184725,3901
SKBO,4.7016,-74.146944,8358
SKBQ,10.889461,-74.780678,95
SKCC,7.927389,-72.511589,1089
SKCG,10.442042,-75.512778,7
SKCL,3.543111,-76.381692,3162
SKIB,4.421653,-75.133611,3055
SKLT,-4.191908,-69.942203,271
SKMR,8.822856,-75.825169,41
SKNV,2.950814,-75.293908,1482
SKPE,4.812567,-75.739961,4418
SKPS,1.396467,-77.291008,5958
SKRG,6.164461,-75.423,7025
SKRH,11.526167,-72.926683,50
SKSM,11.119689,-74.230639,22
SKSP,12.583661,-81.711339,20
SKYP,5.319097,-72.384042,1027
SLLP,-16.5125,-68.192222,13314
SLVR,-17.646111,-63.137778,1224
SPCL,-8.377942,-74.5743,516
SPHI,-6.787478,-79.8281,97
SPHO,-13.154836,-74.204417,8999
SPHZ,-9.360492,-77.594019,9015
SPIM,#N/A,#N/A,#N/A
SPJE,-5.591389,-78.771389,2477
SPJJ,-11.783389,-75.473361,11034
SPJL,-15.466858,-70.157883,12552
SPJR,-7.139222,-78.489528,8848
SPME,-3.552264,-80.381069,115
SPQT,-3.784739,-73.308806,306
SPQU,-16.340578,-71.570803,8400
SPRU,-8.081708,-79.108647,128
SPST,-6.50875,-76.37325,868
SPTN,-18.053289,-70.275822,1538
SPTU,-12.613831,-69.228678,694
SPUR,-5.20575,-80.616389,116
SPYL,-4.576611,-81.254058,282
SPZO,-13.535722,-71.938781,10860
SUMU,-34.833889,-56.028056,105
SVMI,10.601194,-66.991222,234
TNCA,12.501383,-70.015231,62
TNCC,12.188914,-68.959692,36
YMML,-37.673333,144.843333,434
YSSY,-33.946,151.177111,21
