airport,latitude,longitude,elevation_ft
KMCO,28.429390,-81.309000,96
KMIA,25.795361,-80.290117,9
MDPC,18.570781,-68.366186,47
SAAR,-32.903611,-60.784444,86
SABE,-34.559722,-58.415000,20
SACO,-31.310000,-64.208333,1604
SAEZ,-34.822222,-58.535833,67
SAME,-32.831667,-68.792778,2310
SBAR,-10.985278,-37.073333,23
SBAU,-21.144167,-50.426389,1358
SBBE,-1.384722,-48.478889,56
SBBR,-15.871111,-47.918611,3498
SBBV,2.841389,-60.692222,276
SBCA,-25.002222,-53.501944,2490
SBCF,-19.624444,-43.971944,2721
SBCG,-20.469444,-54.670278,1834
SBCH,-27.133889,-52.658889,2154
SBCJ,-6.117778,-50.003333,2064
SBCN,-17.725000,-48.606389,2307
SBCT,-25.531667,-49.176111,2989
SBCX,-29.198056,-51.186667,2474
SBCY,-15.650000,-56.117500,617
SBCZ,-7.599444,-72.769444,636
SBDB,-21.247222,-56.452500,1096
SBDN,-22.175000,-51.424444,1483
SBEG,-3.041111,-60.050556,264
SBFI,-25.600278,-54.485000,787
SBFL,-27.670278,-48.552500,17
SBFN,-3.854722,-32.428333,184
SBFZ,-3.775833,-38.532222,83
SBGL,-22.810000,-43.250556,28
SBGO,-16.632500,-49.221111,2453
SBGR,-23.435556,-46.473056,2461
SBIL,-14.815000,-39.033333,14
SBJE,-2.906667,-40.358056,89
SBJP,-7.148333,-34.950278,217
SBJU,-7.219167,-39.269444,1342
SBJV,-26.223056,-48.797778,15
SBKG,-7.269167,-35.895000,1647
SBKP,-23.006944,-47.134444,2170
SBLO,-23.330278,-51.136667,1867
SBMA,-5.368056,-49.138056,358
SBMG,-23.476389,-52.017778,1801
SBMK,-16.706111,-43.821944,2192
SBMO,-9.510833,-35.791667,388
SBMQ,0.050556,-51.072222,56
SBNF,-26.878611,-48.650833,18
SBNM,-28.281667,-54.168333,1056
SBPA,-29.994722,-51.171111,30
SBPF,-28.244167,-52.328333,2380
SBPJ,-10.290000,-48.357778,774
SBPK,-31.716111,-52.331111,59
SBPL,-9.367500,-40.563611,1263
SBPS,-16.438056,-39.077778,169
SBPV,-8.713611,-63.902778,295
SBRB,-9.868333,-67.898056,633
SBRF,-8.126389,-34.922778,33
SBRJ,-22.910000,-43.162500,10
SBRP,-21.136389,-47.776667,1805
SBSG,-5.768889,-35.366389,273
SBSI,-11.885000,-55.586111,1227
SBSJ,-23.228889,-45.871111,2123
SBSL,-2.586944,-44.236111,177
SBSN,-2.424722,-54.785833,197
SBSP,-23.626111,-46.656389,2634
SBSR,-20.817222,-49.406944,1785
SBSV,-12.908611,-38.322500,63
SBTE,-5.060556,-42.824444,220
SBUL,-18.883611,-48.225278,3094
SBVC,-14.907778,-40.914722,2934
SBVT,-20.258056,-40.286389,34
SBZM,-21.513056,-43.173056,1352
SGAS,-25.241092,-57.516828,290
SKBO,4.701600,-74.146944,8358
SLVR,-17.646111,-63.137778,1224
SMJP,5.451389,-55.200833,59
SNCP,-27.634167,-50.358333,2887
SUMU,-34.833889,-56.028056,105
SVMI,10.601194,-66.991222,234
SWGN,-7.228333,-48.240833,774
TNCA,12.501383,-70.015231,62
